"id","info_carrier","blattangabe","blattangabe_annotat","annotat_text","annotat_tei_xml","annotat_searchstring"
"AN_0001_000011","München, Bayerische Staatsbibliothek, Clm 3559","8v–10r","","","",""
"AN_0001_000012","München, Bayerische Staatsbibliothek, Clm 3559","10r–12v","","","",""
"AN_0001_000013","München, Bayerische Staatsbibliothek, Clm 3559","12v–13v","","","",""
"AN_0001_000014","München, Bayerische Staatsbibliothek, Clm 3559","13v–19r","","","",""
"AN_0001_000015","München, Bayerische Staatsbibliothek, Clm 3559","19r–20r","","","",""
"AN_0001_000016","München, Bayerische Staatsbibliothek, Clm 3559","20r–21r","","","",""
"AN_0001_000017","München, Bayerische Staatsbibliothek, Clm 3559","21r–22r","","","",""
"AN_0001_000018","München, Bayerische Staatsbibliothek, Clm 3559","22r–23v","","","",""
"AN_0001_000019","München, Bayerische Staatsbibliothek, Clm 3559","24r–24v","24r","Verweis 1 (‘Klassiker’): Et #.si q(uid) ibi omi#.s#.su(m) decla(ra)t(i)o(nis) vide | leui(tici) 19 .q(ue) ep(isto)la le(gitur) f(eria) 4(a) p(ost) judica . /","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000019</id></teiHeader><text><body><p><w>Verweis 1 (‘Klassiker’): Et ſi q(uid) ibi omiſſu(m) decla(ra)t(i)o(nis) vide | leui(tici) 19 .q(ue) ep(isto)la le(gitur) f(eria) 4(a) p(ost) judica . /</w></p></body></text></TEI>","Verweis 1 ‘Klassiker’: Et ſi quid ibi omiſſum declarationis vide leuitici 19 .que epistola legitur feria 4a post judica . /"
"AN_0001_000020","München, Bayerische Staatsbibliothek, Clm 3559","","24r","Verweis 2: (et) h(ic) p(ostea) ps(almum) .23. d(omini) e(st) t(er)ra . (etc)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000020</id></teiHeader><text><body><p><w>Verweis 2: (et) h(ic) p(ostea) ps(almum) .23. d(omini) e(st) t(er)ra . (etc)</w></p></body></text></TEI>","Verweis 2: et hic postea psalmum .23. domini est terra . etc"
"AN_0001_000021","München, Bayerische Staatsbibliothek, Clm 3559","","24r","Verweis 3: Et jh(er)e(mie) .7. | f(erie) 5(e) p(ost) oculi . f(a)ct(um) e#.st v(eru)m d(omi)ni <finis 1>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000021</id></teiHeader><text><body><p><w>Verweis 3: Et jh(er)e(mie) .7. | f(erie) 5(e) p(ost) oculi . f(a)ct(um) eſt v(eru)m d(omi)ni </w><finis/></p></body></text></TEI>","Verweis 3: Et jheremie .7. ferie 5e post oculi . factum eſt verum domini"
"AN_0001_000022","München, Bayerische Staatsbibliothek, Clm 3559","24v–26r","","","",""
"AN_0001_000023","München, Bayerische Staatsbibliothek, Clm 3559","26r–28v","","","",""
"AN_0001_000024","München, Bayerische Staatsbibliothek, Clm 3559","28v–35v","","","",""
"AN_0001_000025","München, Bayerische Staatsbibliothek, Clm 3559","35v–37v","","","",""
"AN_0001_000026","München, Bayerische Staatsbibliothek, Clm 3559","37v–39r","","","",""
"AN_0001_000027","München, Bayerische Staatsbibliothek, Clm 3559","39r–40v","","","",""
"AN_0001_000028","München, Bayerische Staatsbibliothek, Clm 3559","40v–45r","41r","Verweis: Jn expo#.sit(i)o(nem) h(uius) ps(almo) vide i(n) codice | ho(rarum) canonicaliu(m) . d(omi)nica palma(rum) | p(ri)m(is) in lectionib(us) a k(arta) .124 (et) vi-|den(tur) Augu#.stini <finis 1> <add>vbi p(er) die(m) #.sole(m) adduc(it).</add>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000028</id></teiHeader><text><body><p><w>Jn expoſit(i)o(nem) h(uius) ps(almo) vide i(n) codice | ho(rarum) canonicaliu(m) . d(omi)nica palma(rum) | p(ri)m(is) in lectionib(us) a k(arta) .124 (et) vi-|den(tur) Auguſtini </w><finis/><add><w>vbi p(er) die(m) ſole(m) adduc(it).</w></add></p></body></text></TEI>","Jn expoſitionem huius psalmo vide in codice horarum canonicalium . dominica palmarum primis in lectionibus a karta .124 et vi-dentur Auguſtini vbi per diem ſolem adducit."
"AN_0001_000029","München, Bayerische Staatsbibliothek, Clm 3559","","42v","Verweis 1: . Expo#.sit(i)o(nem) morale(m) ad om(nem) m(un)di #.statu(m) | vide jacobu(m) de uoragine d(ominica) inf(ra) n(a)ti(vi)-|tatem d(omi)ni luce .2. a k(arta) .36. <sig>Buchstabe F</sig> <finis2>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000029</id></teiHeader><text><body><p><w>Verweis 1: . Expoſit(i)o(nem) morale(m) ad om(nem) m(un)di ſtatu(m) | vide jacobu(m) de uoragine d(ominica) inf(ra) n(a)ti(vi)-|tatem d(omi)ni luce .2. a k(arta) .36. </w><symbol type=""letter"" desc=""F""><w>F</w></symbol><finis-full/></p></body></text></TEI>","Verweis 1: . Expoſitionem moralem ad omnem mundi ſtatum vide jacobum de uoragine dominica infra nativi-tatem domini luce .2. a karta .36. Buchstabe F"
"AN_0001_000030","München, Bayerische Staatsbibliothek, Clm 3559","","42v","Verweis 2: Et de | (con)u(er)#.sione juuentut(is) jn #.s(er)mo(n)e r(esur)r(ectionis) .59. | a k(arta) .135. <sig>Buchstabe K</sig>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000030</id></teiHeader><text><body><p><w>Verweis 2: Et de | (con)u(er)ſione juuentut(is) jn ſ(er)mo(n)e r(esur)r(ectionis) .59. | a k(arta) .135. </w><symbol type=""letter"" desc=""K""><w>K</w></symbol></p></body></text></TEI>","Verweis 2: Et de conuerſione juuentutis jn ſermone resurrectionis .59. a karta .135. Buchstabe K"
"AN_0001_000031","München, Bayerische Staatsbibliothek, Clm 3559","45r–46v","","","",""
"AN_0001_000032","München, Bayerische Staatsbibliothek, Clm 3559","46v–48r","46v","Verweis: ad p(ri)mas le(gitur) d(omi)nic(is) dieb(us) / vide (con)-|formi a #.sen#.s(us) p(rius) ps(almum) .14. d(omi)ne q(uis) h(ab)itab(it).","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000032</id></teiHeader><text><body><p><w>ad p(ri)mas le(gitur) d(omi)nic(is) dieb(us) / vide (con)-|formi a ſenſ(us) p(rius) ps(almum) .14. d(omi)ne q(uis) h(ab)itab(it).</w></p></body></text></TEI>","ad primas legitur dominicis diebus / vide con-formi a ſenſus prius psalmum .14. domine quis habitabit."
"AN_0001_000033","München, Bayerische Staatsbibliothek, Clm 3559","48r–51r","","","",""
"AN_0001_000034","München, Bayerische Staatsbibliothek, Clm 3559","51r–52v","","","",""
"AN_0001_000035","München, Bayerische Staatsbibliothek, Clm 3559","52v–55r","","","",""
"AN_0001_000036","München, Bayerische Staatsbibliothek, Clm 3559","55r–57r","","","",""
"AN_0001_000037","München, Bayerische Staatsbibliothek, Clm 3559","57r–58v","","","",""
"AN_0001_000038","München, Bayerische Staatsbibliothek, Clm 3559","58v–60v","","","",""
"AN_0001_000039","München, Bayerische Staatsbibliothek, Clm 3559","60v–64v","","","",""
"AN_0001_000040","München, Bayerische Staatsbibliothek, Clm 3559","64v–66v","","","",""
"AN_0001_000041","München, Bayerische Staatsbibliothek, Clm 3559","66v–69v","","","",""
"AN_0001_000042","München, Bayerische Staatsbibliothek, Clm 3559","69v–72r","","","",""
"AN_0001_000043","München, Bayerische Staatsbibliothek, Clm 3559","72r–76r","","","",""
"AN_0001_000044","München, Bayerische Staatsbibliothek, Clm 3559","76r–78r","","","",""
"AN_0001_000045","München, Bayerische Staatsbibliothek, Clm 3559","78r–83r","","","",""
"AN_0001_000046","München, Bayerische Staatsbibliothek, Clm 3559","83r–86v","","","",""
"AN_0001_000047","München, Bayerische Staatsbibliothek, Clm 3559","86v–88v","","","",""
"AN_0001_000048","München, Bayerische Staatsbibliothek, Clm 3559","88v–91v","","","",""
"AN_0001_000049","München, Bayerische Staatsbibliothek, Clm 3559","92r–93v","","","",""
"AN_0001_000050","München, Bayerische Staatsbibliothek, Clm 3559","93v–96r","","","",""
"AN_0001_000051","München, Bayerische Staatsbibliothek, Clm 3559","96r–96v","","","",""
"AN_0001_000052","München, Bayerische Staatsbibliothek, Clm 3559","97r–100v","","","",""
"AN_0001_000053","München, Bayerische Staatsbibliothek, Clm 3559","100v–103r","101v","Verweis: vide h(uius) v(er)#.s(us) expo#.it(i)o(nem) #.s(upe)r luce 14 .d(ominice) | 2(e) p(ost) (octavas) p(rese)nt(is) #.s(er)mo(n)e 90 jacobi de uo-|ragine p(re)#.s#.si a k(arta) 205 #.sub l(itte)ra <sig>Buchstabe M</sig>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000053</id></teiHeader><text><body><p><w>vide h(uius) v(er)ſ(us) expo#.it(i)o(nem) ſ(upe)r luce 14 .d(ominice) | 2(e) p(ost) (octavas) p(rese)nt(is) ſ(er)mo(n)e 90 jacobi de uo-|ragine p(re)ſſi a k(arta) 205 ſub l(itte)ra </w><symbol type=""letter"" desc=""M""><w>M</w></symbol></p></body></text></TEI>","vide huius verſus expo#.itionem ſuper luce 14 .dominice 2e post octavas presentis ſermone 90 jacobi de uo-ragine preſſi a karta 205 ſub littera Buchstabe M"
"AN_0001_000054","München, Bayerische Staatsbibliothek, Clm 3559","103r–104v","","","",""
"AN_0001_000055","München, Bayerische Staatsbibliothek, Clm 3559","104v–105v","","","",""
"AN_0001_000056","München, Bayerische Staatsbibliothek, Clm 3559","105v–107v","","","",""
"AN_0001_000057","München, Bayerische Staatsbibliothek, Clm 3559","107v–110v","","","",""
"AN_0001_000058","München, Bayerische Staatsbibliothek, Clm 3559","110v–113r","112v","Verweis: vide ome(lia) g(re)gorij | #.s(upe)r m(a)th(e)i .25. de u(ir)gi(ni)b(us) | Si(mi)le e(st) reg(num) celo(rum) .10. | v(ir)gi(ni)b(us) <finis 1>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000058</id></teiHeader><text><body><p><w>vide ome(lia) g(re)gorij | ſ(upe)r m(a)th(e)i .25. de u(ir)gi(ni)b(us) | Si(mi)le e(st) reg(num) celo(rum) .10. | v(ir)gi(ni)b(us) </w><finis/></p></body></text></TEI>","vide omelia gregorij ſuper mathei .25. de uirginibus Simile est regnum celorum .10. virginibus"
"AN_0001_000059","München, Bayerische Staatsbibliothek, Clm 3559","113v–116r","","","",""
"AN_0001_000060","München, Bayerische Staatsbibliothek, Clm 3559","116r–117r","","","",""
"AN_0001_000061","München, Bayerische Staatsbibliothek, Clm 3559","117r–118v","","","",""
"AN_0001_000062","München, Bayerische Staatsbibliothek, Clm 3559","118v–119v","","","",""
"AN_0001_000063","München, Bayerische Staatsbibliothek, Clm 3559","119v–122v","","","",""
"AN_0001_000064","München, Bayerische Staatsbibliothek, Clm 3559","122v–124v","","","",""
"AN_0001_000065","München, Bayerische Staatsbibliothek, Clm 3559","124v–126v","","","",""
"AN_0001_000066","München, Bayerische Staatsbibliothek, Clm 3559","126v–128r","","","",""
"AN_0001_000067","München, Bayerische Staatsbibliothek, Clm 3559","128r–130v","","","",""
"AN_0001_000068","München, Bayerische Staatsbibliothek, Clm 3559","130v–132r","","","",""
"AN_0001_000069","München, Bayerische Staatsbibliothek, Clm 3559","132r–133r","","","",""
"AN_0001_000070","München, Bayerische Staatsbibliothek, Clm 3559","133r–135r","","","",""
"AN_0001_000071","München, Bayerische Staatsbibliothek, Clm 3559","135r–136v","","","",""
"AN_0001_000072","München, Bayerische Staatsbibliothek, Clm 3559","136v–138r","","","",""
"AN_0001_000073","München, Bayerische Staatsbibliothek, Clm 3559","138r–140r","","","",""
"AN_0001_000074","München, Bayerische Staatsbibliothek, Clm 3559","140r–143r","","","",""
"AN_0001_000075","München, Bayerische Staatsbibliothek, Clm 3559","143r–143v","","","",""
"AN_0001_000076","München, Bayerische Staatsbibliothek, Clm 3559","143v–149r","144r","Verweis: <sig>Kreis mit Kreuz</sig> glo(ria) #.s(upe)r hunc v(er)#.su(m) #.se(quitur) p(ostea) a k(arta) 147 | in v(er)#.su b(e)n(e)d(i)ct(us) d(ominus) die q(uo)ttidie.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000076</id></teiHeader><text><body><p><symbol type=""KreismitKreuz""/><w> glo(ria) ſ(upe)r hunc v(er)ſu(m) ſe(quitur) p(ostea) a k(arta) 147 | in v(er)ſu b(e)n(e)d(i)ct(us) d(ominus) die q(uo)ttidie.</w></p></body></text></TEI>","Kreis mit Kreuz gloria ſuper hunc verſum ſequitur postea a karta 147 in verſu benedictus dominus die quottidie."
"AN_0001_000077","München, Bayerische Staatsbibliothek, Clm 3559"," ","146v","Verweis: <sig>Kreis mit Kreuz</sig> T(ra)n#.spo#.sita e(st) hec illuc in p(er)tinens p(ro)#.sa p(re)ced(r)e d(ebet) | carta 144. v(er)#.su q(ui) incipit Cantate deo p#.salmum.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000077</id></teiHeader><text><body><p><symbol type=""KreismitKreuz""/><w> T(ra)nſpoſita e(st) hec illuc in p(er)tinens p(ro)ſa p(re)ced(r)e d(ebet) | carta 144. v(er)ſu q(ui) incipit Cantate deo pſalmum.</w></p></body></text></TEI>","Kreis mit Kreuz Tranſpoſita est hec illuc in pertinens proſa precedre debet carta 144. verſu qui incipit Cantate deo pſalmum."
"AN_0001_000078","München, Bayerische Staatsbibliothek, Clm 3559","149r–154r","151r","Verweis: jbi (com)mitti(tur) figura eclip#.s(is) q(uia) p(ri)n(cipale) v(erbu)m #.s(cilicet) di(ri)geba(m) obtice(tur) vide i(n) katho(licon) | i(n) 4(a) p(ar)te de figur(is) a k(arta) .46.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000078</id></teiHeader><text><body><p><w>jbi (com)mitti(tur) figura eclipſ(is) q(uia) p(ri)n(cipale) v(erbu)m ſ(cilicet) di(ri)geba(m) obtice(tur) vide i(n) katho(licon) | i(n) 4(a) p(ar)te de figur(is) a k(arta) .46.</w></p></body></text></TEI>","jbi committitur figura eclipſis quia principale verbum ſcilicet dirigebam obticetur vide in katholicon in 4a parte de figuris a karta .46."
"AN_0001_000079","München, Bayerische Staatsbibliothek, Clm 3559","","152r","jn #.s(e)n#.su sp(irit)u(a)li lo(quitur) d(e) hijs q(ui) i(n)digne (et) i(n) p(ec)c(a)to mo(r)tali #.s(u)mu(n)t #.sac(ramentum) | (christ)i in q(uo)d fel p(ec)c(a)ti mor(ta)l(is) ponu(n)t q(ui)b(us) opta(n)d(u)m eve(n)it q(uod) p(ostea) | i(n) v(er)#.sib(us) #.seq(uentibus) #.se(quitur) #.septem. (etc) h(ic) a d(omi)no ludouico mü#.sterlin | i(n) ambone i(n) die palmar(um) cu(m) #.s(an)cto ma(u)ricio ibid(em) cu(m) e#.s#.s(et) adiuto(r) | i(n)f(er)ior capiti q(uam)uis i(ncom)p(ar)abilit(er) dignio(r) capiti #.s(cilicet) plebano q(uia) | #.si ip(s)e pleban(us) (et) vice v(er)#.sa pleban(us) adiuto(r) foret / neq(ua)q(uam) | mer(er)e(tur) tanti viri adiuto(r) dign(us) (et) #.s(uf)f(icie)n(s) no(m)i(n)ari (etc) 1459. | ","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000079</id></teiHeader><text><body><p><w>jn ſ(e)nſu sp(irit)u(a)li lo(quitur) d(e) hijs q(ui) i(n)digne (et) i(n) p(ec)c(a)to mo(r)tali ſ(u)mu(n)t ſac(ramentum) | (christ)i in q(uo)d fel p(ec)c(a)ti mor(ta)l(is) ponu(n)t q(ui)b(us) opta(n)d(u)m eve(n)it q(uod) p(ostea) | i(n) v(er)ſib(us) ſeq(uentibus) ſe(quitur) ſeptem. (etc) h(ic) a d(omi)no ludouico müſterlin | i(n) ambone i(n) die palmar(um) cu(m) ſ(an)cto ma(u)ricio ibid(em) cu(m) eſſ(et) adiuto(r) | i(n)f(er)ior capiti q(uam)uis i(ncom)p(ar)abilit(er) dignio(r) capiti ſ(cilicet) plebano q(uia) | ſi ip(s)e pleban(us) (et) vice v(er)ſa pleban(us) adiuto(r) foret / neq(ua)q(uam) | mer(er)e(tur) tanti viri adiuto(r) dign(us) (et) ſ(uf)f(icie)n(s) no(m)i(n)ari (etc) 1459. | </w></p></body></text></TEI>","jn ſenſu spirituali loquitur de hijs qui indigne et in peccato mortali ſumunt ſacramentum christi in quod fel peccati mortalis ponunt quibus optandum evenit quod postea in verſibus ſequentibus ſequitur ſeptem. etc hic a domino ludouico müſterlin in ambone in die palmarum cum ſancto mauricio ibidem cum eſſet adiutor inferior capiti quamuis incomparabiliter dignior capiti ſcilicet plebano quia ſi ipse plebanus et vice verſa plebanus adiutor foret / nequaquam mereretur tanti viri adiutor dignus et ſufficiens nominari etc 1459. "
"AN_0001_000080","München, Bayerische Staatsbibliothek, Clm 3559","","152r","Verweis: vide pleni(us) d(e) hoc ps(almo) in t(ra)c(tatu) d(e) #.sac(ramento) nicolai de dinkel#.spüchel | non longe p(ost) ha(n)c p(ar)tic(u)la(m) p(ro)bet at(que) #.se ip(se) homo <finis 1/>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000080</id></teiHeader><text><body><p><w>vide pleni(us) d(e) hoc ps(almo) in t(ra)c(tatu) d(e) ſac(ramento) nicolai de dinkelſpüchel | non longe p(ost) ha(n)c p(ar)tic(u)la(m) p(ro)bet at(que) ſe ip(se) homo </w></p></body></text></TEI>","vide plenius de hoc psalmo in tractatu de ſacramento nicolai de dinkelſpüchel non longe post hanc particulam probet atque ſe ipse homo"
"AN_0001_000081","München, Bayerische Staatsbibliothek, Clm 3559","154v–155r","","","",""
"AN_0001_000082","München, Bayerische Staatsbibliothek, Clm 3559","155r–159r","","","",""
"AN_0001_000083","München, Bayerische Staatsbibliothek, Clm 3559","159r–161v","159r","Verweis : vide i(n) aug(ustino) d(e) ci(vitate) dei lib(ro) .17. c(apitulo) .8. <sig>Buchstabe C</sig> d(e) h(oc) | ps(almo) q(ui) d(e) #.salomone n(on) p(otest) int(elle)gi #.s(ed) d(e) (christ)o q(ui) | ex #.semine (et) vn(de) tre dauid p(ost) morte(m) dauid | #.su#.scitat(us) ut) dicit p(ro)phecia. #.s(ed) #.salomon r(e)g(e)bat | e(ciam) ip(s)o p(at)re viuente <finis1>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000083</id></teiHeader><text><body><p><w>Verweis : vide i(n) aug(ustino) d(e) ci(vitate) dei lib(ro) .17. c(apitulo) .8. </w><symbol type=""letter"" desc=""C""><w>C</w></symbol><w> d(e) h(oc) | ps(almo) q(ui) d(e) ſalomone n(on) p(otest) int(elle)gi ſ(ed) d(e) (christ)o q(ui) | ex ſemine (et) vn(de) tre dauid p(ost) morte(m) dauid | ſuſcitat(us) ut) dicit p(ro)phecia. ſ(ed) ſalomon r(e)g(e)bat | e(ciam) ip(s)o p(at)re viuente </w><finis/></p></body></text></TEI>","Verweis : vide in augustino de civitate dei libro .17. capitulo .8. Buchstabe C de hoc psalmo qui de ſalomone non potest intellegi ſed de christo qui ex ſemine et vnde tre dauid post mortem dauid ſuſcitatus ut dicit prophecia. ſed ſalomon regebat eciam ipso patre viuente"
"AN_0001_000084","München, Bayerische Staatsbibliothek, Clm 3559","161v–165r","","","",""
