"id","car_id","text_id","abschnitt","sort_in_car","page_id","wortlaut","wortlaut_tei_xml","wortlaut_searchstring","is_target","is_source","insecurity","position_on_page","insecure_page","lost","is_fragment","non_habes","belegstelle_text","alternative_page","missing_comment","annotat"
"BEL_s_TR_A_0001_42v_$1","TR_A_0001","TX_A0001_000022","","30","22_21_Ps21Deusdeusmeusrespiceinme_89_Bl42v","[...] Et de | (con)u(er)#.sione juuentut(is) jn #.s(er)mo(n)e r(esur)r(ectionis) .59. | a k(arta) .135. <sig>Buchstabe K</sig>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_d_0192_000003</id><refsDecl><biblStruct><monogr><title>Jacobus de Voragine: Sermones</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><gap reason=""editoral"" customTag=""[...]""/><w> Et de | (con)u(er)ſione juuentut(is) jn ſ(er)mo(n)e r(esur)r(ectionis) .59. | a k(arta) .135. </w><symbol type=""letter"" desc=""K""><w>K</w></symbol></p></body></text></TEI>","Et de conuerſione juuentutis jn ſermone resurrectionis .59. a karta .135. Buchstabe K","0","1","0","","0","0","0","0","42v","","","AN_0001_000030"
"BEL_s_TR_A_0001_46v_$0","TR_A_0001","TX_A0001_000023","","32","22_23_Ps23Dominiestterraetplenitudoeius_97_Bl46v","ad p(ri)mas le(gitur) d(omi)nic(is) dieb(us) / vide (con)-|formi a #.sen#.s(us) p(rius) ps(almum) .14. d(omi)ne q(uis) h(ab)itab(it).","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0002_000001</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 3559</title><description>24r</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>ad p(ri)mas le(gitur) d(omi)nic(is) dieb(us) / vide (con)-|formi a ſenſ(us) p(rius) ps(almum) .14. d(omi)ne q(uis) h(ab)itab(it).</w></p></body></text></TEI>","ad primas legitur dominicis diebus / vide con-formi a ſenſus prius psalmum .14. domine quis habitabit.","0","1","0","","0","0","0","0","46v","","","AN_0001_000032"
"BEL_s_TR_A_0001_101v_$0","TR_A_0001","TX_A0001_000045","","53","22_44_Ps44Eructauitcormeum_209_Bl101v","vide h(uius) v(er)#.s(us) expo#.sit(i)o(nem) #.s(upe)r luce 14 .d(ominice) | 2(e) p(ost) (octavas) p(rese)nt(is) #.s(er)mo(n)e 90 jacobi de uo-|ragine p(re)#.s#.si a k(arta) 205 #.sub l(itte)ra <sig>Buchstabe M</sig>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_d_0192_000004</id><refsDecl><biblStruct><monogr><title>Jacobus de Voragine: Sermones</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>vide h(uius) v(er)ſ(us) expoſit(i)o(nem) ſ(upe)r luce 14 .d(ominice) | 2(e) p(ost) (octavas) p(rese)nt(is) ſ(er)mo(n)e 90 jacobi de uo-|ragine p(re)ſſi a k(arta) 205 ſub l(itte)ra </w><symbol type=""letter"" desc=""M""><w>M</w></symbol></p></body></text></TEI>","vide huius verſus expoſitionem ſuper luce 14 .dominice 2e post octavas presentis ſermone 90 jacobi de uo-ragine preſſi a karta 205 ſub littera Buchstabe M","0","1","0","","0","0","0","0","101v","","","AN_0001_000053"
"BEL_s_TR_A_0001_112v_$0","TR_A_0001","TX_A0001_000050","","58","22_49_Ps49Deusdeorumdominuslocutusest_231_Bl112v","vide ome(lia) g(re)gorij | #.s(upe)r m(a)th(e)i .25. de u(ir)gi(ni)b(us) | Si(mi)le e(st) reg(num) celo(rum) .10. | v(ir)gi(ni)b(us) <finis1/>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_x_0151_000002</id><refsDecl><biblStruct><monogr><title>Gregorius Magnus: Homiliae in evangelio (?)</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>vide ome(lia) g(re)gorij | ſ(upe)r m(a)th(e)i .25. de u(ir)gi(ni)b(us) | Si(mi)le e(st) reg(num) celo(rum) .10. | v(ir)gi(ni)b(us) </w></p></body></text></TEI>","vide omelia gregorij ſuper mathei .25. de uirginibus Simile est regnum celorum .10. virginibus","0","1","0","","0","0","0","0","112v","","","AN_0001_000058"
"BEL_s_TR_A_0001_144r_$0","TR_A_0001","TX_A0001_000068","","76","22_67_Ps67Exurgatdeusetdissipenturinimicieius_294_Bl144r","<sig>Kreis mit Kreuz</sig> glo(ria) #.s(upe)r hunc v(er)#.su(m) #.se(quitur) p(ostea) a k(arta) 147 | in v(er)#.su b(e)n(e)d(i)ct(us) d(ominus) die q(uo)ttidie.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0002_000004</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 3559</title><description>146v</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><symbol type=""KreismitKreuz""/><w> glo(ria) ſ(upe)r hunc v(er)ſu(m) ſe(quitur) p(ostea) a k(arta) 147 | in v(er)ſu b(e)n(e)d(i)ct(us) d(ominus) die q(uo)ttidie.</w></p></body></text></TEI>","Kreis mit Kreuz gloria ſuper hunc verſum ſequitur postea a karta 147 in verſu benedictus dominus die quottidie.","0","1","0","","0","0","0","0","144r","","","AN_0001_000076"
"BEL_s_TR_A_0001_146v_$0","TR_A_0001","TX_A0001_000068","","77","22_67_Ps67Exurgatdeusetdissipenturinimicieius_299_Bl146v","<sig>Kreis mit Kreuz</sig> T(ra)n#.spo#.sita e(st) hec illuc in p(er)tinens p(ro)#.sa p(re)ced(r)e d(ebet) | carta 144. v(er)#.su q(ui) incipit Cantate deo p#.salmum.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0002_000003</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 3559</title><description>144r</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><symbol type=""KreismitKreuz""/><w> T(ra)nſpoſita e(st) hec illuc in p(er)tinens p(ro)ſa p(re)ced(r)e d(ebet) | carta 144. v(er)ſu q(ui) incipit Cantate deo pſalmum.</w></p></body></text></TEI>","Kreis mit Kreuz Tranſpoſita est hec illuc in pertinens proſa precedre debet carta 144. verſu qui incipit Cantate deo pſalmum.","0","1","0","","0","0","0","0","146v","","","AN_0001_000077"
"BEL_s_TR_A_0001_151r_$0","TR_A_0001","TX_A0001_000069","","78","22_68_Ps68Saluummefacdeus_308_Bl151r","jbi (com)mitti(tur) figura eclip#.s(is) q(uia) p(ri)n(cipale) v(erbu)m #.s(cilicet) di(ri)geba(m) obtice(tur) vide i(n) katho(licon) | i(n) 4(a) p(ar)te de figur(is) a k(arta) .46.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_x_0081_000004</id><refsDecl><biblStruct><monogr><title>Johannes de Balbis Ianuensis: Catholicon</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>jbi (com)mitti(tur) figura eclipſ(is) q(uia) p(ri)n(cipale) v(erbu)m ſ(cilicet) di(ri)geba(m) obtice(tur) vide i(n) katho(licon) | i(n) 4(a) p(ar)te de figur(is) a k(arta) .46.</w></p></body></text></TEI>","jbi committitur figura eclipſis quia principale verbum ſcilicet dirigebam obticetur vide in katholicon in 4a parte de figuris a karta .46.","0","1","0","","0","0","0","0","151r","","","AN_0001_000078"
"BEL_s_TR_A_0001_159r_$0","TR_A_0001","TX_A0001_000071","","83","22_71_Ps71Deusiudiciumtuumregida_324_Bl159r","vide i(n) aug(ustino) d(e) ci(vitate) dei lib(ro) .17. c(apitulo) .8. <sig>Buchstabe C</sig> d(e) h(oc) | ps(almo) q(ui) d(e) #.salomone n(on) p(otest) int(elle)gi #.s(ed) d(e) (christ)o q(ui) | ex #.semine (et) vn(de) tre dauid p(ost) morte(m) dauid | #.su#.scitat(us) ut) dicit p(ro)phecia. #.s(ed) #.salomon r(e)g(e)bat | e(ciam) ip(s)o p(at)re viuente <finis1>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_x_0082_000007</id><refsDecl><biblStruct><monogr><title>Augustinus: De civitate Dei</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>vide i(n) aug(ustino) d(e) ci(vitate) dei lib(ro) .17. c(apitulo) .8. </w><symbol type=""letter"" desc=""C""><w>C</w></symbol><w> d(e) h(oc) | ps(almo) q(ui) d(e) ſalomone n(on) p(otest) int(elle)gi ſ(ed) d(e) (christ)o q(ui) | ex ſemine (et) vn(de) tre dauid p(ost) morte(m) dauid | ſuſcitat(us) ut) dicit p(ro)phecia. ſ(ed) ſalomon r(e)g(e)bat | e(ciam) ip(s)o p(at)re viuente </w><finis/></p></body></text></TEI>","vide in augustino de civitate dei libro .17. capitulo .8. Buchstabe C de hoc psalmo qui de ſalomone non potest intellegi ſed de christo qui ex ſemine et vnde tre dauid post mortem dauid ſuſcitatus ut dicit prophecia. ſed ſalomon regebat eciam ipso patre viuente","0","1","0","","0","0","0","0","159r","","","AN_0001_000083"
"BEL_s_TR_A_0001_204r_$0","TR_A_0001","TX_A0001_000089","","100","22_88_Ps88Misericordiasdominiineternumcantabo_416_Bl204r","<sig>Raute</sig> vide infra reliq(u)as.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0002_000005</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 3559</title><description>204r</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><symbol type=""Raute""/><w> vide infra reliq(u)as.</w></p></body></text></TEI>","Raute vide infra reliquas.","0","1","0","","0","0","0","0","204r","","","AN_0001_000100"
"BEL_s_TR_A_0001_204r_$2","TR_A_0001","TX_A0001_000089","","101","22_88_Ps88Misericordiasdominiineternumcantabo_416_Bl204r","vide d(e) p(ro)mi#.s#.sio(n)ib(us) dauid cui #.sint f(a)cte (et) q(uomodo) | i(n)t(elli)gan(tur) i(n) lib(ro) aug(ustini) d(e) ci(vitate) dei .17. 8(o) (et) 9 (o) capitul(is).","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_x_0082_000008</id><refsDecl><biblStruct><monogr><title>Augustinus: De civitate Dei</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>vide d(e) p(ro)miſſio(n)ib(us) dauid cui ſint f(a)cte (et) q(uomodo) | i(n)t(elli)gan(tur) i(n) lib(ro) aug(ustini) d(e) ci(vitate) dei .17. 8(o) (et) 9 (o) capitul(is).</w></p></body></text></TEI>","vide de promiſſionibus dauid cui ſint facte et quomodo intelligantur in libro augustini de civitate dei .17. 8o et 9 o capitulis.","0","1","0","","0","0","0","0","204r","","","AN_0001_000101"
"BEL_s_TR_A_0001_204r_$1","TR_A_0001","TX_A0001_000089","","102","22_88_Ps88Misericordiasdominiineternumcantabo_416_Bl204r","<sig>Raute</sig> vide #.sup(ra) (co)dep(e)nd(e)ns","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0002_000006</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 3559</title><description>204r</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><symbol type=""Raute""/><w> vide ſup(ra) (co)dep(e)nd(e)ns</w></p></body></text></TEI>","Raute vide ſupra codependens","0","1","0","","0","0","0","0","204r","","","AN_0001_000102"
"BEL_s_TR_A_0001_208v_$0","TR_A_0001","TX_A0001_000089","","103","22_88_Ps88Misericordiasdominiineternumcantabo_425_Bl208v","vide i(n) 17(o) lib(ro) d(e) ci(vitate) dei aug(ustini) c(apitulo) .10. <sig>Buchstabe B</sig>.","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_x_0082_000009</id><refsDecl><biblStruct><monogr><title>Augustinus: De civitate Dei</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>vide i(n) 17(o) lib(ro) d(e) ci(vitate) dei aug(ustini) c(apitulo) .10. </w><symbol type=""letter"" desc=""B""><w>B</w></symbol><w>.</w></p></body></text></TEI>","vide in 17o libro de civitate dei augustini capitulo .10. Buchstabe B.","0","1","0","","0","0","0","0","208v","","","AN_0001_000103"
